Category,Type,Command,Hint,Default,Description
Weapons,Special Attribute,ethereal,,,The weapon does not affect Ethereal beings
Weapons,Special Attribute,flying,,,Flying and Floating units are immune.
Weapons,Special Attribute,flying2,,,Flying units have 75% chance of evading this attack
Weapons,Special Attribute,fullsweep,,,The attack will hit all adjacent units. The primary target takes full damage and all subsequent targets take a cumulative -1 damage (so the second target takes full damage -1 the third target takes full damage -2 etc).
Weapons,Special Attribute,ghoulify,,,Humanoids killed by this weapon will become ghouls
Weapons,Special Attribute,hardmorale,,,A morale check vs 1d20 negates the effects of this weapon.
Weapons,Special Attribute,hardmr,,,Passing a hard magic resistance check negates the effects of this weapon.
Weapons,Special Attribute,holykill,,,The weapon causes double damage against undead
Weapons,Special Attribute,huge,,,The weapon does not affect Huge beings.
Weapons,Special Attribute,inanimate,,,The weapon does not affect Lifeless beings.
Weapons,Special Attribute,large,,,The weapon does not affect monsters that are 2x2 tiles or larger in size on the battlefield.
Weapons,Special Attribute,lob,,,Use this command for arrows sling stones and other weapons with an arcing trajectory.
Weapons,Special Attribute,mind,,,The weapon does not affect Mindless beings.
Weapons,Special Attribute,morale,,,A morale check vs 1d10 negates the effects of this weapon.
Weapons,Special Attribute,mr,,,Passing a normal magic resistance check negates the effects of this weapon.
Weapons,Special Attribute,mundane,,,Being Ethereal protects against this weapon. Ethereal units have a 75% chance to be unaffected by the weapon. Most weapons such as swords and spears are mundane.
Weapons,Special Attribute,mutate,,,A victim killed by this weapon becomes a monster of the type that immediately follows the killer in the monster list. For example units killed by a Doppelganger become Doppelspawn which is the next unit in order from Doppelganger.
Weapons,Special Attribute,nostr,,,The weapon is unaffected by damage bonuses from any source
Weapons,Special Attribute,oneshot,,,The weapon can only be used once per battle.
Weapons,Special Attribute,onlyenemy,,,This weapon will not affect friendly troops
Weapons,Special Attribute,onlyfriend,,,This weapon will only affect friendly troops
Weapons,Special Attribute,poison,,,Poison resistance helps against this attack even though the weapon is not poison.
Weapons,Special Attribute,rangepen,,,Damage penalty at long range. All normal range weapons like bows and slings have this.
Weapons,Special Attribute,reanimate,,,A victim killed by the weapon becomes a Soulless.
Weapons,Special Attribute,reload1,,,It takes 1 combat round to reload this weapon.
Weapons,Special Attribute,reload2,,,It takes 2 combat rounds to reload this weapon.
Weapons,Special Attribute,reload3,,,It takes 3 combat rounds to reload this weapon.
Weapons,Special Attribute,replicate,,,A victim killed by this weapon becomes the same type of monster as the killer.
Weapons,Special Attribute,scatter,,,A missile weapon with this attribute may deviate one square
Weapons,Special Attribute,shieldneg,,,The weapon ignores shields.
Weapons,Special Attribute,soft,,,Armor is doubled vs this weapon
Weapons,Special Attribute,stone,,,Stone beings are immune to the weapon.
Weapons,Special Attribute,stonekill,,,x2 dmg vs stone beings and stone walls
Weapons,Special Attribute,strresist,,,The effects of this weapon can be resisted by a successful strength check.
Weapons,Special Attribute,sweep,,,The weapon can continue to kill multiple targets.
Weapons,Special Attribute,targterr,,,Weapon can target terrain
Weapons,Special Attribute,tree,,,Tree/bushes/fungus are immune to this weapon
Weapons,Special Attribute,undead,,,The weapon does not affect Undead units.
Weapons,Special Attribute,undkill,,,The weapon causes double damage against undead only
Weapons,Special Attribute,wallkill,,,x5 dmg vs walls and boats
Weapons,Start,newweapon,weapon name,,This command creates a new weapon.
Weapons,Start,selectweapon,weapon name | <nbr>,,Selects an existing weapon for modification. There may be several different weapons with the same name in which case you should use the weapon number for selecting the desired weapon. You can see existing weapon numbers in game by pressing ctrl-i when inspecting a unit.
