Category,Type,Command,Hint,Default,Description
Class,Recruitment,reclimiter,string,,'This will alter the requirements for the last added recruitment. string can be something like ''+Baron'' to require a Baron ''-Baron'' to require the Baron to not be alive or ''=Dwarf Worker'' to require dwarf workers to be upgraded into the new troops.'
Class,Recruitment,recwizchance,<bonus>,0,This command sets an extra chance for recruitment offers from human wizards. The default value is 0.
Class,Recruitment,recxcost,<resource type> <amount>,,The previous entry in recruitment list will get an additional cost of a special resource (not gold or iron). See table Resource Types for resource types.
Class,Recruitment,stdtroops,,,Adds standard troops to recruitment list. Standard troops are spearmen swordsmen archers crossbowmen heavy infantries and catapult. Standard troops also include the chance of recruitment offers from Captain (20%) and Scout (10%).
Class,Recruitment,templebonusdescr,text,,This text will be shown as a description of the bonus for owning temples.
Class,Recruitment,templerec,,,The previous entry in recruitment list will have increased chance of occurring depending on the number of temples owned.
Class,Special,aiclass,<value>,,-1=AI players will never get this class by random choice 0=normal 1=this class can only be played by AI players
Class,Special,classcitterr,<terrain nbr>,,Can also use this terrain as citadels. There can only be one classcitterr per class but it can be combined with the 3 previous commands.
Class,Special,classforestcit,<0-1>,,Can use ancient forests as citadels like the Troll King.
Class,Special,classminecit,<0-1>,,Can use mountain mines as citadels like the Dwarf Queen.
Class,Special,classtune,<sound>,,Sets the class specific tune to this sound number. Tune sound numbers are 125-150 (class specific tunes) and 155-168 (general tunes).
Class,Special,classwoodencit,<0-1>,,Can use watch towers as citadels like the Senator.
Class,Special,otherplanar,,,"Will enable the class to survive without owning a citadel in Elysium. Note that all classes will survive when owning thei start citadel, even if it is not in Elysium."
Class,Special,reqterr,<terrain nbr>,,The class requires at least one square of this terrain to be present on a map to play. This must be a terrain type that is normally present on maps. There can only be one reqterr per class.
Class,Start,newclass,,,Creates a new class. The new class is automatically assigned a class number from the range of free numbers.
Class,Start,selectclass,<class nbr>,,Selects the class to be modified. The selected class is referred to as the active class. Class numbers are listed in Table Class numbers.
Class,Starting Location,addstartterr,<terrain nbr>,,Adds extra terrain types that the class starts with when the game begins such as extra farms hamlets or mines.
Class,Starting Location,clearstartterr,,,Clears the starting terrain list for the class. This means any additional farms hamlets mines etc that the class would start the game with.
Class,Starting Location,createcit,<terrain nbr>,,This is the citadel terrain for classes with a different start plane.
Class,Starting Location,likescoast,<value>,,A value from -10 to 10 indicating the willingness to start near the coast.
Class,Starting Location,likesnorth,<value>,,A value from -10 to 10 indicating the willingness to have a northern start location.
Class,Starting Location,likessouth,<value>,,A value from -10 to 10 indicating the willingness to have a southern start location.
Class,Starting Location,startplane,<plane>,,'Starting citadel should be on this plane. If you use this command you should also use the ''createcit'' command and the terrain set as hometerr should be set to a gateway/pit/spire terrain. The hometerr terrain will be created in Elysium as a portal to the other plane.'
Class,Starting Units,addstartcom,monster name,,Adds a starting commander to the class. All starting units added after the commander will appear already assigned to that commander’s squad at the beginning of the game. The main commander should not be added as a startcom.
Class,Starting Units,addstartunits,monster name <nbr>,,Adds <nbr> monsters to the starting army for the class. Use this command multiple times to assign several different types of monsters (for example spearmen and archers).
Class,Starting Units,clearstartunits,,,Clears the starting army for the active class.
Class,Starting Units,setmaincom,monster name,,Sets the main commander for the class. For example the main commander for the Baron class is Baron and the main commander for the Barbarian class is Barbarian Leader. If the main commander does not appear in the recruitment list for the class he cannot be replaced if lost.
Events,Affect Target,alterterrain,<terrain nbr>,,changes the terrain of the current location
Events,Affect Target,changeowner,<player>,,changes ownership of unit to this player
Events,Affect Target,comname,commander’s name,,to be written
Events,Affect Target,cureoneaff,,,(cures one affliction)
Events,Affect Target,gainxp,<xp>,,Gives XP to the target unit. XP can be negative to remove XP.
Events,Affect Target,killsquare,,,kills everyone in target square
Events,Affect Target,killunit,<dmg>,,to be written
Events,Affect Target,makeblind,,,(makes target unit blind)
Events,Affect Target,makediseased,,,(makes target unit diseased)
Events,Affect Target,makenhwound,,,(gives target unit a never healing wound)
Events,Affect Target,makestationary,,,(makes target unit stationary on world map)
Events,Affect Target,namesquare,'square name',,Sets name of square e.g. 'Crab Harbor' or '!2The Old Forest' or '!!The Old Tower'
Events,Affect Target,newitem,item name,,to be written
Events,Affect Target,promote,<commanderize> 'monster',,commanderize 0 = do not alter commander status 1 = turns a non commander into a commander
Events,Affect Target,randitem,<rare chance>,,to be written
Events,Affect Target,randmisc,<rare chance>,,to be written
Events,Affect Target,removeanimalcorpses,<nbr>,,Removes this many animal corpses from target location. Nbr must be a positive value.
Events,Affect Target,removecorpses,<nbr>,,Removes this many corpses from target location. Nbr must be a positive value.
Events,Affect Target,removehumanoidcorpses,<nbr>,,Removes this many humanoid corpses from target location. Nbr must be a positive value.
Events,Basic Action,addresources,<player> <resource type> <amount>,,Adds an amount of resources to a player. See table Resource Types for resource types.
Events,Basic Action,message,<to player> 'text',,Sends a text message to a player.
Events,Change Location,randloc,<planenr> <terr nbr>,,move target location to a random location. See table Plane Numbers. The plane special values -1 (all planes) and -2 (Elysium-near planes) can also be used. Negative terrain numbers can also be used for special group of terrains.
Events,Change Location,scatterloc,<radius>,,makes target location deviate a bit can result in the same square. Cannot be used on squareevents
Events,Change Location,setloc,<x> <y>,,move target location to a fixed location
Events,Start,endevent,,,All events must end with this command
Events,Start,playerevent,,,Once for each player every turn occurs in home citadel by default
Events,Start,squareevent,,,For each player and each square in the world every turn
Events,Target Action,newunits,<player> 'monsters',,also sets target unit
Events,Target Action,promoteunits,<player> <max amount> 'from monster' 'to monster',,also sets target unit
Events,Trigger,+armyowner,<player>,,True if square is occupied by this player
Events,Trigger,+chance,<percent>,,Trigger has percent chance of being true.
Events,Trigger,+class,<player> 'class name',,True if this player is this class
Events,Trigger,+hascom,<player> 'commander’s name',,Also sets target unit
Events,Trigger,+hascomhere,<player> 'commander’s name',,Also sets target unit
Events,Trigger,+hasitem,"<player> ""item name""",,True if player has this kind of magic item somewhere in the world. Also sets target unit to wielder (player -1 = any player)
Events,Trigger,+hasitemhere,"<player> ""item name""",,True if player has this kind of magic item in current square. Also sets target unit to wielder (player -1 = any player
Events,Trigger,+hasunit,<player> 'monster name',,Also sets target unit (player -1 = any player)
Events,Trigger,+hasunithere,<player> 'monster name',,Also sets target unit (player -1 = any player)
Events,Trigger,+minanimalcorpses,<nbr>,,True if at least this many animal corpses (of any type) are present in the square.
Events,Trigger,+mincorpses,<nbr>,,True if at least this many corpses of any type are present in the square.
Events,Trigger,+minhumancorpses,<nbr>,,True if at least this many human corpses are present in the square.
Events,Trigger,+minhumanoidcorpses,<nbr>,,"True if at least this many humanoid corpses (humans, hoburghers, giants) are present in the square."
Events,Trigger,+minturnnbr,<turn nbr>,,True if the current turn number is this turn nbr of greater.
Events,Trigger,+ownsloc,<player> <terr nbr>,,True if player owns this terrain anywhere in the world
Events,Trigger,+plane,<planenr>,,True if target square is on this plane. See table Plane Numbers. The special values -1 (all planes) and -2 (Elysium-near planes) can also be used.
Events,Trigger,+player,<player>,,True if current player has this player number
Events,Trigger,+season,<0-3>,,0=summer 1=autumn 2=winter 3=spring
Events,Trigger,+seasondelay,<1-3>,,3=early (guaranteed to only happen once per season 2=mid 1=late)
Events,Trigger,+squarename,'square name',,True if square has this name. e.g. 'Crab Harbor' or 'The Old Tower'
Events,Trigger,+squareowner,<player>,,True if target square is owned or occupied by this player
Events,Trigger,+terrain,<terr nbr>,,True if target square is of this terrain
Events,Trigger,+turnnbr,<turn nbr>,,True if the current turn number is this turn nbr.
Events,Trigger,+varequal,<var> <value>,,var = 0-9999 true if variable equals value
Events,Trigger,+vargreater,<var> <value>,,True if the variable is greater than value
Events,Trigger,+varlesser,<var> <value>,,True if the variable is less than value
Events,Variable,addvar,<var> <value>,,var = 0-9999  adds a value to a variable.
Events,Variable,setvar,<var> <value>,,var = 0-9999  sets a variable to a value
Magic,Basic,descr,item description,,Not necessary as most magic items don’t have descriptions.
Magic,Basic,itemwep,weapon name,,Sets the weapon stats of the magic item to those of the weapon with this name. Only use this together with type 1 magic items.
Magic,Basic,name,item name,,Set the name of the magic item. Not necessary if you created a new one with newitem.
Magic,Basic,rarity,<rarity>,0,Sets how easy it should be to find this item. 0=common 1=rare 2=rare & unique 3=impossible to find as a random item. Default is 0.
Magic,Basic,spr,image file,,Sets the sprite for the magic item. It should be centered in a 32x32 or 64x64 pixel large image. The drawn item should not be larger than 40x40 pixels however so if put in a 64x64 image it should be surrounded by black.
Magic,Basic,type,<item type>,7,Sets the magic item type. Default is 7 = misc item. See table Magic Item Types
Magic,Copy/Clear,copyspr,item name,,Uses the sprite from this magic item.
Magic,Copy/Clear,copystats,item name,,Copies all stats except the name from this magic item.
Magic,Special,armor,<value>,0,Armor value default 0.
Magic,Special,combatspell,"<mode> ""spell name""",,"Mode -1 = spell will be auto cast on the first round, 1 = unit can cast this spell (like a wand), 2 = spell will be auto cast each round. The spell name is simply the name of the combat spell to be cast, e.g. ""Fireball""."
Magic,Special,combatsum,"<mode> ""summoning string""",,"Mode -1 = will summon on the first round of combat, 1 = will summon on all rounds of combat. Summoning string is very simlar to the summoning strings used for ritual summoning. E.g. ""2d4*Deer & 2*wolf"" would summon 2-8 deer and 2 wolves. Commanders cannot be summoned in battle."
Magic,Special,hp,<value>,0,Hit Point bonus default 0.
Magic,Special,protection,<value>,0,Protection bonus default 0.
Magic,Start,newitem,item name,,This command creates a new magic item.
Magic,Start,selectitem,item name,,Selects an existing magic item for modification.
Miscellaneous,Playercolor,<player> <red> <green> <blue>,,,Sets the default color for a player. Each color value is between 0 and 255
Monsters,Attacks,assassinweapon,<dmg> 'weapon',,Equips the monster with an assassination weapon of this name that has a base damage of <dmg>. This weapon will be used to make an assassination attempt on an enemy before normal combat (including siege weapons) begins. Assassination attempts can only be used by the attacker and cannot be used against summoned creatures the summoner fails to control.
Monsters,Attacks,meleeweapon,<dmg> 'weapon',,Equips the monster with a melee weapon of this name that has a base damage of <dmg>.
Monsters,Attacks,meleeweapon50s,<dmg> 'weapon',,Equips the monster with a melee+skip attack that has 50% chance of being used. If it is used the next attack will be skipped.
Monsters,Attacks,meleeweaponbonus,<dmg> 'weapon',,Equips the monster with a melee weapon of this name that has a base damage of <dmg>. This weapon will be used in addition to any other attacks the monster has.
Monsters,Attacks,meleeweaponlong,<dmg> 'weapon',,Equips the monster with a melee weapon of this name that has a base damage of <dmg>. The weapon is long and can be used to attack from the second row.
Monsters,Attacks,meleeweaponspec,<dmg> 'weapon',,Equips the monsters with a special melee weapon. Any normal melee attacks after this one will not be used if this attack was used. Normally used for lances.
Monsters,Attacks,prebatweapon,<dmg> 'weapon',,Equips the monster with a prebattle effect weapon of this name that has a base damage of <dmg>. This weapon will be used before any normal combat (including assassination) begins.
Monsters,Attacks,rangedweapon,<dmg> 'weapon',,Equips the monster with a ranged weapon of this name that has a base damage of <dmg>.
Monsters,Attacks,rangedweapon25,<dmg> 'weapon',,Equips the monster with a ranged weapon of this name that has a base damage of <dmg>. This weapon has a 25% chance of being used in melee combat.
Monsters,Attacks,rangedweapon50,<dmg> 'weapon',,Equips the monster with a ranged weapon of this name that has a base damage of <dmg>. This weapon has a 50% chance of being used in melee combat.
Monsters,Attacks,rangedweapon50s,<dmg> 'weapon',,Equips the monster with a range+skip weapon that has 50% chance of being used in melee (100% at range). When used the next weapon will be skipped.
Monsters,Attacks,rangedweapon50x,<dmg> 'weapon',,Equips the monster with a range+skip weapon that has 50% chance of being used in melee or range. When used the next weapon will be skipped.
Monsters,Attacks,rangedweaponbonus,<dmg> 'weapon',,Equips the monster with a ranged weapon of this name that has a base damage of <dmg>. This weapon will be used in addition to any other attacks the monster has.
Monsters,Attacks,siegeweapon,<dmg> 'weapon',,Equips the monster with a siege weapon of this name that has a base damage of <dmg>. This weapon will be used in locations that allow sieges like cities and castles. Siege weapons are used in the first ten rounds of combat before any normal attacks are made.
Monsters,Basic,armor,<nbr>,,This command sets the monster’s armor value which represents its natural protection or the armor it is wearing. Normal human troops have an armor value of 0. Medium armored human troops have an armor value of 1. Heavily armored human troops like Heavy Infantry have an armor value of 2 and very heavily armored troops like Knights and High Lords have an armor value of 3. Extremely tough monsters like dragons may have an armor value of 4 or more.
Monsters,Basic,descr,text,,Description of the monster. The ^ character will be replaced with a newline.
Monsters,Basic,hp,<nbr>,,The maximum number of hit points for the monster. A normal human soldier has 6 hit points and an elite heavily armored soldier has 10 hit points. An ogre has 25 hit points a troll has 56 hit points and giants dragons and other huge monsters can have well over a 100 hit points.
Monsters,Basic,mor,<nbr>,,The morale of the monster. A normal human soldier has a morale of 4 an elite human soldier has 5 or 6 and powerful monsters can have a morale of 8 or more. Very fearless monsters may have a morale of 15. Setting the morale to 99 makes the monster Mindless and it will be completely unaffected by fear or any other effects that influence morale.
Monsters,Basic,mr,<nbr>,,The magic resistance of the monster. Animals have a magic resistance of 2 a normal human has 4 and a more susceptible human has 3. Apprentice mages have a magic resistance of 6 full mages have 8 and master mages have 9. Some highly magical beings may have even higher magic resistance and they can almost never be affected by magic that is resistible.
Monsters,Basic,name,monster name,,This command renames an existing monster. It is not needed when creating a new monster.
Monsters,Basic,rank,<nbr>,,Sets the default deployment rank for the monster. -1 = back 0 = mid 1 = front
Monsters,Basic,spr1,image.tga,,The file name of the normal image for the monster. This command sets the attack sprite to this image as well.The image should be 32x32 or 64x64 for normal sized monsters and 128x128 for huge monsters. A human being should be about 34 pixels tall and there should be 2 pixels of free space between his feet and the bottom of the image.
Monsters,Basic,spr2,image.tga,,The file name of the attack image for the monster. If this is not set then spr1 will be used for this image too. This command must come after the spr1 command.
Monsters,Basic,str,<nbr>,,The strength of the monster. A normal human soldier has a strength of 4 an elite human soldier has 5 a troll has 8 or 9 and giants and dragons have 10 to 12.
Monsters,Behaviour,aggressive,,,Likes to attack enemies.
Monsters,Behaviour,ancforest1,,,Loves ancient forests.
Monsters,Behaviour,celwander,<objective>,,Only wander if owned by Celestials
Monsters,Behaviour,celwander2,<objective>,,Try to fulfill this objective if the first one was not possible
Monsters,Behaviour,coastal,,,Loves the coast like a giant crab.
Monsters,Behaviour,deadforest1,,,Loves dead forests.
Monsters,Behaviour,deadforest2,,,Likes dead forests.
Monsters,Behaviour,desert1,,,Loves deserts.
Monsters,Behaviour,desert2,,,Likes deserts.
Monsters,Behaviour,desert3,,,Hates deserts.
Monsters,Behaviour,followstupid,,,Doesn’t move independently but follows other stupid units.
Monsters,Behaviour,forest1,,,Loves forests (including ancient forests).
Monsters,Behaviour,forest2,,,Likes forests (including ancient forests).
Monsters,Behaviour,gates1,,,Loves gateways.
Monsters,Behaviour,hadeswander,<objective>,,Only wander if owned by Hades
Monsters,Behaviour,hadeswander2,<objective>,,Try to fulfill this objective if the first one was not possible
Monsters,Behaviour,horror,,,Likes to kill sentient people also isn’t scared of the void.
Monsters,Behaviour,indwander,<objective>,,Only wander if owned by Independents
Monsters,Behaviour,infwander,<objective>,,Only wander if owned by Inferno
Monsters,Behaviour,infwander2,<objective>,,Try to fulfill this objective if the first one was not possible
Monsters,Behaviour,jungle1,,,Loves jungles.
Monsters,Behaviour,jungle2,,,Likes jungles.
Monsters,Behaviour,lone,,,Moves independently of the player and not in groups.
Monsters,Behaviour,maptele,,,Can teleport on world map when it is a wandering monster.
Monsters,Behaviour,maxsinners,<value>,,Will gather sinners when owned by Inferno (value=amount before returning)
Monsters,Behaviour,mines1,,,Loves mines.
Monsters,Behaviour,money1,,,Loves gold producing squares.
Monsters,Behaviour,money2,,,Likes gold producing squares.
Monsters,Behaviour,mountain1,,,Loves mountains.
Monsters,Behaviour,mountain2,,,Likes mountains.
Monsters,Behaviour,nonruin1,,,Loves stuff that can be turned into ruins but is not yet a ruin.
Monsters,Behaviour,north1,,,Loves the north.
Monsters,Behaviour,pickupanimals,<0-1>,,Picks up all animals in the same square and brings them along.
Monsters,Behaviour,semistupid,,,Will move automatically like an independent units unless it is controlled by a player commander.
Monsters,Behaviour,south1,,,Loves the south.
Monsters,Behaviour,south2,,,Likes the south.
Monsters,Behaviour,stray,,,Can stray away from loved and liked terrains.
Monsters,Behaviour,stupid,,,Cannot be controlled by players and will move automatically like an independent unit.
Monsters,Behaviour,swamp1,,,Loves swamps.
Monsters,Behaviour,swamp2,,,Likes swamps.
Monsters,Behaviour,temple1,,,Loves temples.
Monsters,Behaviour,temple2,,,Likes temples.
Monsters,Behaviour,void2,,,Likes the void.
Monsters,Behaviour,wander,<objective>,,Will try to fulfill an objective if it is a commander. See table Objectives for possible values.
Monsters,Behaviour,wander2,<objective>,,Try to fulfill this objective if the first one was not possible
Monsters,Behaviour,wanderattack,<player number>,,Pause wander to attack this faction if adjacent (-1=all factions -2=player factions)
Monsters,Behaviour,wandermaxdist,<value>,,Maximum distance for raid missions for wanderers. Dragons have about 6 in this ability.
Monsters,Behaviour,wanderrest,<chance>,,A chance for wandering monsters to rest a turn instead of going on a mission. Dragons have about 85 in this ability.
Monsters,Behaviour,winteridle,,,Monster will not move in the winter if it is in a cold part of the map.
Monsters,Combat Spells,more1spells,<nbr>,,The monster starts with more or fewer level 1 spells when it spawns.
Monsters,Combat Spells,more2spells,<nbr>,,The monster starts with more or fewer level 2 spells when it spawns.
Monsters,Combat Spells,more3spells,<nbr>,,The monster starts with more or fewer level 3 spells when it spawns.
Monsters,Combat Spells,spellrange,<value>,,Value = +range for battle spells
Monsters,Combat Spells,spellweapon,<path> <level>,,Equips the monster with a Cast Spell weapon in the magic path specified. This spell weapon only has a 25% chance of being successfully used in melee combat.
Monsters,Combat Spells,spellweapon50,<path> <level>,,Equips the monster with a limited Cast Spell Weapon in the magic path specified. This spell weapon has only a 50% chance of being used on any given combat round.
Monsters,Combat Spells,spellweapon50s,<path> <level>,,Equips the monster with a limited Cast Spell+skip weapon in the magic path specified. This spell weapon has only a 50% chance of being used on any given combat round. If it is used the next weapon will be skipped.
Monsters,Combat Spells,spellweaponbonus,<path> <level>,,Equips the monster with a bonus Cast Spellweapon in the magic path specified. This spell weapon can be used in melee without penalty.
Monsters,Combat Spells,spellweaponsingle,<path> <level>,,Equips the monster with a limited Cast Spell Weapon in the magic path specified. Only one of the single spell weapons will be used per combat round if the monster has several
Monsters,Copy/Clear,clearmove,,,Removes all movement attributes from the active monster.
Monsters,Copy/Clear,clearspec,,,Removes all special abilities from the active monster. The special abilities are things like Fire Immunity Regeneration etc. This command does not clear movement abilities. Use the clearmove command for that.
Monsters,Copy/Clear,clearweapons,,,Removes all weapons from the active monster.
Monsters,Copy/Clear,copyspr,monster name,,Copy the sprite of another monster.
Monsters,Healing and Sanity,coldheal,<value>,,heals value hp/month when it’s cold
Monsters,Healing and Sanity,eatvillage,<0-1>,,to be written
Monsters,Healing and Sanity,fastheal,,,to be written
Monsters,Healing and Sanity,healonterr,<value>,,to be written
Monsters,Healing and Sanity,minorstartaff,<chance>,,Chance of starting with a minor affliction. Chances >100 can give more than one affliction.
Monsters,Healing and Sanity,noheal,,,to be written
Monsters,Healing and Sanity,regeneration,,,to be written
Monsters,Healing and Sanity,saner,<value>,,regains this amount of sanity per month
Monsters,Healing and Sanity,varregen,<value>,,to be written
Monsters,Healing and Sanity,voidsanity,<value>,,reduces insanity gains (like armor)
Monsters,Immortality and Planes,banishsurv,,,to be written
Monsters,Immortality and Planes,hadesres,<value>,,resistance to the effects of hades
Monsters,Immortality and Planes,homeplane,<plane nbr>,,will return to this plane if slain outside it and be indep controlled again
Monsters,Immortality and Planes,immortal,,,to be written
Monsters,Immortality and Planes,immortalap,<nbr>,,to be written
Monsters,Immortality and Planes,noplanecamo,<plane nbr>,,does not use fx_lookslike when in plane = value
Monsters,Immortality and Planes,planeshift,<plane nbr>,,can go to/from other plane 1=hades 2=inferno
Monsters,Immortality and Planes,primable,<value>,,to be written
Monsters,Immortality and Planes,primal,<value>,,to be written
Monsters,Immortality and Planes,primifier,<value>,,to be written
Monsters,Immortality and Planes,reformdestroy,<value>,,chance to destroy location on immortality respawn
Monsters,Immortality and Planes,reformloc,<value>,,respawn terrain for immortals (-1 = anywhere 1000=home)
Monsters,Immortality and Planes,revertowner,<value>,,to be written
Monsters,Income,fungi,<nbr>,,Gives extra income per month of this resource.
Monsters,Income,gold,<nbr>,,Gives extra income per month of this resource.
Monsters,Income,goldbonus,<percent>,,Percentage bonus to gold income for entire nation.
Monsters,Income,goldcarrier,<value>,,spoils of war when defeating this monster.
Monsters,Income,hands,<nbr>,,Gives extra income per month of this resource.
Monsters,Income,herbs,<nbr>,,Gives extra income per month of this resource.
Monsters,Income,iron,<nbr>,,Gives extra income per month of this resource.
Monsters,Income,ironbonus,<percent>,,Percentage bonus to iron income for entire nation.
Monsters,Income,ironcarrier,<value>,,spoils of war when defeating this monster.
Monsters,Income,lairgoldpen,<value>,,Gold inc penalty in percent for this monster’s lair.
Monsters,Income,lifeforce,<nbr>,,Gives extra income per month of this resource.
Monsters,Income,limitgold,<value>,,value = amount of gold per month but max the value of the square
Monsters,Income,limitiron,<value>,,value = amount of iron per month but max the value of the square
Monsters,Income,limittrade,<value>,,value = amount of extra trade per month but max the original trade value of the square.
Monsters,Income,localgoldbonus,<percent>,,att% bonus to gold income in this square (only works in mines)
Monsters,Income,localironbonus,<percent>,,att% bonus to iron income in this square (only works in mines)
Monsters,Income,relics,<nbr>,,Gives extra income per month of this resource.
Monsters,Income,trade,<nbr>,,Gives this number of extra trade points
Monsters,Income,tradebonus,<percent>,,Percentage bonus to trade income for entire nation.
Monsters,Income,weed,<nbr>,,Gives extra income per month of this resource.
Monsters,Mirrors,mirror,<value>,,1=is small mirror 2=is large mirror 3=silver 4=gold
Monsters,Mirrors,mirrorammo,<value>,,default number of images for this type of mirror (def 20)
Monsters,Mirrors,phantasm,<value>,,1=phantasmal warrior 2=phantasmal animal etc.
Monsters,Mirrors,releasephant,<value>,,mirror releases this type of phantasms (has phantasm = value)
Monsters,Mirrors,releaserate,<value>,,bonus to the number of phantasms released
Monsters,Mirrors,releasespell,<value>,,making an attack drains one mirror charge (fx_mirror)
Monsters,Mirrors,revertmirror,<value>,,revert to mirror when empty. 1=small mirror 2=large mirror 3=silver 4=gold
Monsters,Movement,battlefast,,,Monster is fast but in battles only.
Monsters,Movement,battleslow,,,Monster is slow in battles.
Monsters,Movement,battleslow2,,,Monster is very slow battles.
Monsters,Movement,desert,,,Monster has desert move.
Monsters,Movement,fast,,,Monster is fast.
Monsters,Movement,float,,,Monster is floating.
Monsters,Movement,flying,,,Monster can fly.
Monsters,Movement,huge,,,Monster is giant sized. This also makes it a 3x3 square monster on the battlefield.
Monsters,Movement,immobile,,,Monster is immobile (cannot move in battle).
Monsters,Movement,mountain,,,Monster has mountain move.
Monsters,Movement,noland,,,Monster cannot move on land.
Monsters,Movement,passwall,,,Monster can move through walls.
Monsters,Movement,shipmove,,,Monster is a ship. Movement will cost 1 AP for everyone in the same square.
Monsters,Movement,slow,,,Monster is slow on world map.
Monsters,Movement,snow,,,Monster has snow move.
Monsters,Movement,stationary,,,Monster is stationary (cannot move on world map).
Monsters,Movement,swamp,,,Monster has swamp move.
Monsters,Movement,teleport,,,Like flying but the monster will teleport around in combat.
Monsters,Movement,tunnel,,,Monster can tunnel on the world map.
Monsters,Movement,wall,,,Monster has wall climbing.
Monsters,Movement,water,,,Monster can enter water squares.
Monsters,Movement,wateronly,,,Same as water & noland. The monster will be aquatic.
Monsters,Resistances,acidres,<value>,,Offers resistance to acid. Value 100 = completely resistant.
Monsters,Resistances,affres,<value>,,value = chance of not receiving battle affliction
Monsters,Resistances,airshield,<percent>,,Air Shield with this chance of negating incoming missile attacks.
Monsters,Resistances,awe,<nbr>,,to be written
Monsters,Resistances,bluntres,,,Blunt resistance (half damage).
Monsters,Resistances,charmres,,,Charm resistance.
Monsters,Resistances,coldres,<value>,,Offers resistance to cold. Value 100 = completely resistant.
Monsters,Resistances,diseaseres,,,Disease resistance.
Monsters,Resistances,displaced,<value>,,25% chance of missing per rank away from target
Monsters,Resistances,ethereal,,,Is ethereal.
Monsters,Resistances,fireres,<value>,,Offers resistance to fire. Value 100 = completely resistant.
Monsters,Resistances,largeshield,,,Equips the monster with a large shield (0-2 protection).
Monsters,Resistances,lucky,,,Lucky units evade 50% of all attacks.
Monsters,Resistances,magicshield,,,Equips the monster with a magic shield (0-3 protection).
Monsters,Resistances,mirrorimages,<value>,,to be written
Monsters,Resistances,nonmaginvul,,,Invulnerable to non-magical weapons.
Monsters,Resistances,pierceres,,,Pierce resistance (half damage).
Monsters,Resistances,poisonres,<value>,,Offers resistance to poison. Value 100 = completely resistant.
Monsters,Resistances,shield,,,Equips the monster with a regular shield (0-1 protection).
Monsters,Resistances,shockres,<value>,,Offers resistance to shock. Value 100 = completely resistant.
Monsters,Resistances,slashres,,,Slash resistance (half damage).
Monsters,Resistances,sleepres,,,Sleep resistance.
Monsters,Resistances,twistfate,,,to be written
Monsters,Ritual Power,allrit,<value>,,knows all rituals of this school (see the Ritual Schools table -1=all ritual schools)
Monsters,Ritual Power,classcost,<nbr>,,to alter cost of all rituals made by this unit 50=50% more expensive
Monsters,Ritual Power,ctrlchance,<nbr>,,Chance of controlling this monster when it is summoned
Monsters,Ritual Power,gatheranygems,,,A commander with this ability will enable the player to gather gems.
Monsters,Ritual Power,gatherfungus,,,A commander with this ability will enable the player to gather fungus.
Monsters,Ritual Power,gathergems,,,A commander with this ability will enable the player to gather gems of individual types.
Monsters,Ritual Power,gatherhands,,,A commander with this ability will enable the player to gather Hands of Glory.
Monsters,Ritual Power,gatherherbs,,,A commander with this ability will enable the player to gather herbs.
