CLASS,RITUAL,LEVEL,COST,LOCATION,DESCRIPTION
Barbarian,Summon Heroes of Old,2,300 Herb,Land ,The Spirit Guide builds a sweat lodge and burns large amounts of aromatic herbs to call the spirits of the tribe's most heroic ancestors.
Barbarian,Carve Totempole,2,300 Herb; 3 AP,Land ,The Spirit Guide carves intimidating faces on a great wooden pole. The Spirit Guide then invites a might spirit to inhabit the pole.
Barbarian,Promise of the Ancestors,2,400 Herb,Land ,The Enarie negotiates a pact between the Barbarian Chief and the spirit world. Should the Chief die in battle his ancestors will welcome him in the afterlife and give him a retinue of spectral followers.
Barbarian,Army of Legends,3,1000 Herb,Ancient Forests; Old Battlefields,The Spirit Guide burns an enormous amount of aromatic herbs in place where spirits of the ancestors are near. This will give a small army of ancestors a second chance to conquer the world.
Barbarian (Amazon),Paint Tattoo,1,50 Herb,Anywhere,"An Amazon Priestess or Sorceress paints a group of Amazons with enchanted tattoos. The tattoos give the Amazons increased Morale, but additional designs that give other powers can be invented. Once tattooed all available tattoos are applied to the painted ones."
Barbarian (Crystal Priestess),Design Eagle Tattoo,1,200 Herb,Anywhere,The Crystal Priestess designs an Eagle Tattoo that grants Painted Amazons increased archery skills.
Barbarian (Crystal Sorceress),Design Pegasus Tattoo,2,500 Herb,Anywhere,The Crystal Sorceress designs a Pegasus Tattoo that grants Painted Amazons the ability to run like the wind.
Barbarian (Garnet Priestess),Design Lion Tattoo,1,200 Herb,Anywhere,The Garnet Priestess designs a Lion Tattoo that grants Painted Amazons increased Strength and Morale.
Barbarian (Garnet Sorceress),Design Gryphon Tattoo,2,500 Herb,Anywhere,The Garnet Sorceress designs a Gryphon Tattoo that grants Painted Amazons increased Strength and Fire Resistance.
Barbarian (Jade Priestess),Design Serpent Tattoo,1,200 Herb,Anywhere,The Jade Priestess designs a Serpent Tattoo that grants Painted Amazons increased Resistance against Magic and Poisons.
Barbarian (Jade Sorceress),Design Hydra Tattoo,2,500 Herb,Anywhere,The Jade Sorceress designs a Hydra Tattoo that grants Painted Amazons the ability to Regenerate wounds.
Barbarian (Onyx Priestess),Design Badger Tattoo,1,200 Herb,Anywhere,The Onyx Priestess designs a Badger Tattoo that grants Painted Amazons increased Toughness.
Barbarian (Onyx Sorceress),Design Skull Tattoo,2,500 Herb,Anywhere,The Onyx Sorceress designs a Skull Tattoo that grants Painted Amazons flesh almost impervious to physical damage. Only clubs and hammers that crush the bones of Amazons will cause severe wounds.
Baron,Coronation,-,600 Gold,King's Castle,"The Baron sits on the King's Throne and proclaims himself King of Elysium. In addition to gaining the respect of all civilized beings in Elysium, the King will receive free military units in all recruit locations as long as he resides in the King's Castle."
Baron,Raise Levies,1,-,Human Settlements,"Raises a militia from the local population that will defend the place from brigands, animals, or worse. The militia can only be raised in a Settlement where there is no militia already. The larger the Settlement, the larger the militia will be."
Baron,Swift Justice,1,25 Gold,Brigand Lairs,Swift justice can be dealt to a Brigand Lair. The place is surrounded and everyone is rounded up and hanged. This takes care of the brigand problem forever.
Baron,Raise Fort,1,50 Gold; 6 AP,Hamlets,Puts a high wall all around the Settlement and also raises a small hill with a simple fort on it where the guards can look over the surroundings. A Fortification like this provides excellent protection against the beasts of Elysium and it will quickly fill up with more inhabitants than previously.
Baron,Appoint Vassal,2,10 Gold,Motte and Bailey,"The Baron appoints one of his Knights as a Vassal to steward and defend a Motte and Bailey. The fort will no longer produce units for the Baron, but for the Vassal instead. The yearly conscription is increased to 1 Knight, 2 soldiers, and 2 Archers. The Vassal and his troops will move independently and will occasionally try to conquer surrounding Settlements and mines."
Baron,Relocate Manor,2,100 Gold,Castles,The Baron moves his retinue and staff to another Castle. Any subsequient conscription will be directed to the new manor. Only a Castle or the King's Castle can be made the new manor of the Baron.
Baron,Raise Castle,3,250 Gold; 9 AP,Farms,"Builds an entire Castle from the ground up. This is a costly and time consuming enterprise, but the result is impressive."
Baron (Alchemist),Alchemy,1,1 Iron; 3 AP,Anywhere,Alchemist transmutes base metals into Gold. 1 unit of Iron is converted in 4 units of Gold.
Baron (Alchemist),Greater Alchemy,2,2 Iron; 3 AP,Anywhere,Alchemsit has refined his methods and can produce even more Gold. 1 unit of Iron is converted into 7 units of Gold
Baron (Alchemist),Alchemical Catapult,2,25 Gold,Anywhere,"Catapults are able to launch alchemical ammunition instead of boulders.  The alchemical ammunition cause slightly less damage where it hits, but it explodes in Flames covering a far larger area."
Baron (Alchemist),Alchemical Trebuchet,2,50 Gold,Anywhere,"Trebuchets are able to launch alchemical ammunition instead of boulders.  The alchemical ammunition cause slightly less damage where it hits, but each of them explodes in Flames covering a far larger area."
Baron (Monk),Benediction,-,100 Gold,Temples,The Monk is invested with the title and powers of an Abbot. As an Abbot he can found Monasteries and is eligible for receiving stipends from the tithes of the Church. he also gains the ability to cast more powerful prayers
Baron (Monk),Drain Swamp,1,25 Gold,Swamps; Bogs,Draining a Swamp turns a useless tract of fenland into a fertile plot suitable for farming
Baron (Monk),Found Monastery,2,50 Gold,Farm,The Abbot founds a Monastery in a farmland. Monasteries produce more gold and are surrounded by defendable walls. The Monastery has the Temple trait and can increase chances of Monk recruitment.
Burgmeister,Create Hoburg Village,1,10 Weed; 10 Gold,Farms,With gifts of wonder Hoburg beer a Farm is depopulated from Humans and the Hoburghers move in to create a proper Hoburg Village on the fertile land
Burgmeister (Horologist),Lesser Ritual,-,15 Gems,Anywhere,Grants the caster a new first level ritual.
Burgmeister (Horologist),Ritual of Mastery,-,45 Gems,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Burgmeister (Horologist),Ruby Construct,1,20 RU,Forests; Jungles,"The mechanical constructs of the Horologist are truly formidable soldiers, many with magic attacks powered by the magic gems used."
Burgmeister (Horologist),Sapphire Construct,1,20 SA,Forests; Jungles,"The mechanical constructs of the Horologist are truly formidable soldiers, many with magic attacks powered by the magic gems used."
Burgmeister (Horologist),Diamond Construct,1,20 DI,Forests; Jungles,"The mechanical constructs of the Horologist are truly formidable soldiers, many with magic attacks powered by the magic gems used."
Burgmeister (Horologist),Emerald Construct,1,20 EM,Forests; Jungles,"The mechanical constructs of the Horologist are truly formidable soldiers, many with magic attacks powered by the magic gems used."
Burgmeister (Horologist),Ruby Iron Dragon,2,150 RU; 3 AP,Forests; Jungles,The mechanical dragons of the master crafter are probably some of the most powerful entities ever created. They are almost indestructible and have magic powers based on the type of gems used.
Burgmeister (Horologist),Sapphire Iron Dragon,2,150 SA; 3 AP,Forests; Jungles,The mechanical dragons of the master crafter are probably some of the most powerful entities ever created. They are almost indestructible and have magic powers based on the type of gems used.
Burgmeister (Horologist),Diamond Iron Dragon,2,150 DI; 3 AP,Forests; Jungles,The mechanical dragons of the master crafter are probably some of the most powerful entities ever created. They are almost indestructible and have magic powers based on the type of gems used.
Burgmeister (Horologist),Emerald Iron Dragon,2,150 EM; 3 AP,Forests; Jungles,The mechanical dragons of the master crafter are probably some of the most powerful entities ever created. They are almost indestructible and have magic powers based on the type of gems used.
Burgmeister (Horologist),Construct Ferrous Wheel,2,10 RU; 10 SA; 10 DI; 10 EM; 3 AP,Forests; Jungles,"The Clockwork Mastercrafter makes a replica of Gruber Hassleboff's infamous iron wheel. The device was inteded to be an entertainment device, but after some unfortunate events it was remade into a self-propelled siege device that flings boulders at an unparalleled rate."
Burgmeister (Horticulturist),Lesser Ritual,-,12 Weed,Anywhere,Grants the caster a new second level ritual.
Burgmeister (Horticulturist),Ritual of Mastery,-,75 Weed,Ancient Forests,"Grants the caster a new third level ritual. If the caster is currently unable to cast third level rituals, it will be leveled up as well."
Burgmeister (Horticulturist),Create Hoburg Village,1,10 Weed; 10 Gold,Farms,With gifts of wonder Hoburg beer a Farm is depopulated from Humans and the Hoburghers move in to create a proper Hoburg Village on the fertile land
Burgmeister (Horticulturist),Animal Summoning,2,10 Weed,Land ,With the help of special Hoburg plants the Horticulturist is able to control some beasts by tricking them into eating the delicious magic mixture
Burgmeister (Horticulturist),Farm Animal Summoning,2,10 Weed,Farms,The Horticulturist can summon and take control over a group of beasts that enjoy living close to farmlands
Burgmeister (Horticulturist),Summon Guardian of the Hoburgs,3,100 Weed,Ancient Forests,Summons a strong treelike creature that will protect the Hoburghers.
Burgmeister (Horticulturist),Great Animal Summoning,3,50 Weed,Forest; Jungles,With the help of special Hoburg plants the Horticulturist is able to control a pack of beasts by tricking them into eating the delicious magic mixture
Cloud Lord,Lesser Ritual,-,15 DI,Anywhere,Grants the caster a new first level ritual.
Cloud Lord,Ritual of Mastery,-,25 DI,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Cloud Lord,Grand Ritual,-,75 DI,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Cloud Lord,Lesser Sky Summoning,1,25 DI,Anywhere,Summon birds or a few supernatural beings of the Sky.
Cloud Lord,Diamond Alchemy,1,10 RU; 10 SA; 10 EM,Anywhere,The Cloud Lord merges the magical properties of a spectrum of Gems into 25 clear and pure Diamonds.
Cloud Lord,Greater Sky Summoning,2,50 DI,Anywhere,Summon supernatural birds or elemental beings of the Sky.
Cloud Lord,Summon Storm Giant,2,75 DI,Anywhere,Summons a Storm Giant. The Giant can fly and throw lightning at his enemies. Sometimes a Storm Giant claims lordship over his peers and is granted the title of Titan.
Cloud Lord,Summon Mist Warrior,2,25 DI; 25 SA,Anywhere,Summons a band of Para-elementals and binds them to into servitude. Para-elementals gain power from two elements and are generally more powerful than the pure elemental soldiers.
Cloud Lord,Summon Yeti,2,25 DI; 25 SA,Mountains,Summons a small pack of Yetis and binds them into servitude. Yetis are Great Ape-like beings of the frozen Mountain tops. They are surrounded by a freezing mist.
Cloud Lord,Shape Clouds,2,5 DI; 5 EM; 3 AP,Sky,The Cloud Lord shapes the sky itself to form solid clouds. The clouds will remain indefinitely.
Cloud Lord,Rainbow Curtain,2,25 DI; 6 AP,Fortified ,The Castle is surrounded by a curtain of rain and clouds. When the curtain is lit by the sun it will produce a gorgeous display of rainbows and glittering lights. Anyone entering the curtain might become Bewildered and Confused.
Cloud Lord,Summon Queen of Air,3,200 DI,Anywhere,The Queen of Air is a powerful elemental being and a ruler of the Elemental Plane of Air. She is capable fo performing Air rituals.
Cloud Lord,Perpetual Storm,3,125 DI,Anywhere,The Perpetual Storm will cause heavy winds and the appearance of Storm Elementals that will roam the surrounding areas. The square that this enchantment is cast on will be the eye of the storm and it will be calm and free from Storm Elementals. The surrounding areas will have their income decreased due to the storms and in the eye of the storm Diamonds can be collected.
Cloud Lord,Summon Solar Eagle,3,25 DI; 25 RU,Anywhere,The Eagle King summons a mythical bird of Airya legends to lead and inspire his subjects. The Solar Eagle is as strong as a Giant and wields the powers of the sun itself.
Cloud Lord,Summon Frost Giant,3,75 SA,Anywhere,"Summons a Frost Giant. The Giant is armed and dressed in winter's cold. The very lands the Giant traverses will become icy cold and covered in snow. Anyone standing close to the Giant will freeze, unless resistant to cold."
Cloud Lord,Fimbul Fortress,3,75 SA; 25 DI,Frozen Lakes,Transforms a Frozen Lake into a Citadel made of ice. The Fimbul Fortress will spread cold to the surrouding areas and will also serve as a place of power for Frost Giants. Frost Giants will find that the rituals calling their servants are easier to cast here.
Cloud Lord,Cloud Castle,3,150 DI,Clouds,The Cloud Lord shapes clouds into a solid Castle. The Castle will remain indefinitely and can be used to raise Airya troops
Demonologist,Lesser Ritual,-,20 Sac,Anywhere,Grants the caster a new first level ritual.
Demonologist,Ritual of Mastery,-,60 Sac,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Demonologist,Grand Ritual,-,240 Sac,Anywhere,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Demonologist,Imp Summoning,1,10 Sac,Land ,"The Demonologist will summon a bunch of Imps and try to control them. The more Human sacrifices used, the greater the chance of successfully binding the Imps. Imps are evil and if the binding fails they will attack at the first opportunity."
Demonologist,Demon Summoning,1,20 Sac,Land ,"The Demonologist will summon one of the less powerful Demons and try to control it. The more Human sacrifices used, the greater the chance of successfully binding the Demon. Demons do not like being bound to the service of mortals and if the binding fails the demon will attack at the first opportunity."
Demonologist,Personal Gate,1,10 Sac,Anywhere,Visiting Inferno is quite easy for a Demonologist. With this ritual he negotiates a safe passage there for himself alone. Unfortunately getting back from there is not quite as easy.
Demonologist,Greater Demon Summoning,2,40 Sac,Land ,"The Demonologist will summon a greater Demon and try to control it. The more Human sacrifices used, the greater the chance of successfully binding the Demon. Demons do not like being bound to the service of mortals and if the binding fails the demon will attack at the first opportunity."
Demonologist,Infernal Horde,2,150 Sac,Land ,"The Demonologist will summon a small horde of low ranking Demons and try to control it. The more Human sacrifices used, the greater the chance of successfully binding the horde. Demons do not like being bound to the service of mortals and if the binding fails the demons will attack at the first opportunity."
Demonologist,Summon Demon Lieutenant,2,120 Sac,Land ,"The Demonologist will summon a high ranking Demon and try to control it. The more Human sacrifices used, the greater the chance of successfully binding the Demon. Demon Lieutenants are very powerful and most can command armies, cast spells, and perform rituals to summon more Demons."
Demonologist,Returning,2,10 Sac,Anywhere,"This ritual is a life saver if you should ever end up in Inferno for some reason. The ritual will transport the Demonologist back to Elysium. Not necessarily a safe location in Elysium, but it should be safer than staying in Inferno at least."
Demonologist,Wall of Torment,2,75 Sac; 6 AP,Fortified ,"By trapping Human sacrifices inside the castle wall, the Demonologist can create a Wall of Torment. The trapped souls will attack any enemies that come too close by releasing their dark energies on them. The castle gates will be flanked by 2 heads that project the horror of those who are trapped in the wall and any enemies that approach the gate will run away in panic. Creating the Wall of Torment is a very time consuming ritual."
Demonologist,Summon Demon Lord,3,500 Sac,Land ,"The Demonologist will summon one of the seven Demon Lords and try to control it. The more Human sacrifices used, the greater the chance of successfully binding the Demon. Demon Lords are extremely powerful and failure to bind it is likely to be fatal for the Demonologist."
Demonologist,Infernal Gate,3,100 Sac,Village size Settlement,"Creates a gate between the current location in Elysium and a random location in the Inferno. When that gate has been created the armies of the Demonlogist are free to enter the Inferno, but the gate can also be used to leave Inferno by the forces already down there."
Druid,Lesser Ritual,-,25 Herb,Anywhere,Grants the caster a new first level ritual.
Druid,Ritual of Mastery,-,75 Herb,Forests; Jungles,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Druid,Grand Ritual,-,300 Herb,Ancient Forests,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Druid,Minor Animal Summoning,1,15 Herb,Anywhere,Summons and takes control of a small pack of animals that are native to the current location. Casting it in a Forest may yield a few Deer or maybe a Bear while casting it in a Desert may result in a bunch of Scorpions. Casting the spell in an Ancient Forest usually gives a better result than casting it in an ordinary Forest.
Druid,Messenger Crows,1,15 Herb,Anywhere,"The Druid summons a Murder of Crows that will move around randomly, gathering information and claiming lands. The Crows are quite aggressive and will sometimes attack travelers. They are stealthy and will ambush anyone moving into their location."
Druid,Plant Forest Guardians,1,15 Herb; 3 AP,Forests; Jungles,"Can only be cast in wooded areas and will create some guardians that are suitable for defending it. The ritual does not require many resources, but it takes a long time to perform."
Druid,Major Animal Summoning,2,75 Herb,Mountains; Forests; Jungles,Summons and takes control of a pack of mighty beasts that are native to the current location. Casting it in a Forest may yield a few Moose while casting it in a Jungle may result in an Elephant. Casting the spell in an Ancient Forest usually gives a better result than casting it in an ordinary Forest.
Druid,Summon Mythic Beasts,2,100 Herb,Ancient Forests,Summons and takes control of one or more mythic beasts. The ritual can only be performed in an Ancient Forest.
Druid,Heart of the Forest,2,150 Herb,Ancient Forests,"Every Ancient Forest has a heart that is connected to the larger forest that surrounds it. With this ritual the Druid takes control of Heart of the Forest. The Ancient Forest will then begin to spread the Druid's influence and exert control over all forests in the vicinity, bringing them under his rule. It will also be able to defend itself with nature magic if any hostile units should enter."
Druid,Lord of the Wild,2,100 Herb,Ancient Forests,"An enchantment that the Druid can cast on an Ancient Forest. When the enchantment is active, group of animals appear in any nearby Forests that are owned by the Druid. These animals will be bound to serve the Druid."
Druid,Wild Hunt,2,300 Herb,Ancient Forests,"The Druid calls the Wild Hunt in an Ancient Forest and releases it upon the world. The Hunt moves to Ancient Forests and claims them for the wild. If there are no more unclaimed Ancient Forests in Elysium, the Hunt will advance on the bastions of civilization instead."
Druid,Revive Ancient Forest,2,350 Herb,Shadow Woods,Restores life to a destroyed Ancient Forest. Trees and plants will start to grow anew and the animals and beasts that once lived in the forest returns to live and breed in the blooming forest. The ritual takes time to cast and even longer to take effect.
Druid,Call Primal Being,3,1000 Herb,Ancient Forests,The Druid calls on one of the beings that roamed Elysium at the dawn of time. Now such beasts have disappeared from Elysium and can only be called from the Primal Plane. The Druid creates a temporary gate to the Primal Plane in an Ancient Forest allowing the beast to pass over into Elysium.
Druid,Summon Legendary Beings,3,450 Herb,Ancient Forests,Summons and takes control of one or more of the most powerful beasts that have ever roamed Elysium. The ritual can only be performed in an Ancient Forest.
Druid,Sheperds of the Wood,3,300 Herb,Ancient Forests,"By performing this ritual in an Ancient Forest, the Druid calls the Shepherd of the Wood that used to tend the forests in ancient times. The Shepherds will grow in number over time and they will usually roam around the vicinity of the forests, eliminating any enemies they encounter."
Druid,Faery Paths,3,100 Herb,Ancient Forests,"The Druid will travel using the Faery Paths that bind the Ancient Forests together. The journey takes almost no time and the Druid can take an entire army with him, but it is only possible to travel to another Ancient Forest."
Dryad Queen,Lesser Ritual,-,50 Herb,Anywhere,Grants the caster a new first level ritual.
Dryad Queen,Ritual of Mastery,-,100 Herb,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Dryad Queen,Grand Ritual,-,400 Herb,Groves of Gaia; Primal Forests,"Grants the caster a new third level ritual. If the caster is currently unable to cast thirs level rituals, it will be leveled up as well."
Dryad Queen,Minor Animal Summoning,1,25 Herb,Anywhere,Summons and takes control of a small pack of animals that are native to the current location. Casting it in a Forest may yield a few Deer or maybe a Bear while casting it in a Desert may result in a bunch of Scorpions. Casting the spell in an Ancient Forest usually gives a better result than casting it in an ordinary Forest.
Dryad Queen,Create Sacred Grove,1,400 Herb; 6 AP,Forests; Ancient Forests,"Sacred Groves are of utmost importance to the Dryad Queen as it is here that the creatures ready to serve her will gather. All Ancient Forests can be converted to Groves and sometimes a Grove can be created from an ordinary Forest. To create a Grove from an ordinary Forest there cannot be any Ancient Forests or any kind of Sacred Groves nearby. Satyrs and Harpies will appear in the Sacred Groves automatically, but to get Centaurs or Minotaurs a Commander of the correct type must be present in the Grove."
Dryad Queen,Bramble Fort,1,150 Herb; 3 AP,Ancient Forests; Scared Groves,"Makes trees and bushes grow into a Fortification, complete with ramparts and sturdy gates."
Dryad Queen,Major Animal Summoning,2,100 Herb,Mountains; Forests; Jungles,Summons and takes control of a pack of mighty beasts that are native to the current location. Casting it in a Forest may yield a few Moose while casting it in a Jungle may result in an Elephant. Casting the spell in an Ancient Forest usually gives a better result than casting it in an ordinary Forest.
Dryad Queen,Create Grove of Gaia,2,750 Herb; 6 AP,Sacred Groves,"A Sacred Grove will be upgraded to a Grove of Gaia. This increases the number of creatures that will gather there to fight for the Dryad Queen. Satyrs and Harpies will appear in Groves of Gaia automatically, but to get Centaurs or Minotaurs a Commander of the correct type must be present in the grove."
Dryad Queen,Call of Gaia,2,400 Herb,Ancient Forests; Scared Groves,"Must be cast in a place of power and it calls upon 1 or a few of the best units available to serve the Dryad Queen. The more sacred the location is, the more powerful the unts that answer may be."
Dryad Queen,Blood Orgy,2,100 Herb,Farms; Hamlets,"A good Blood Orgy can be had with the very small sacrifice of only a single villager. After the sacrifice, many of the women in the village will go wild and participate in the orgy. Afterwards they will never be as before and they will be known as Maenads and fight fiercely for their new master."
Dryad Queen,Plant Hamadryad,2,200 Herb; 3 AP,Forests; Jungles,"The Hamadryad is not really a Dryad, it is not really a tree either but rather something in between. The Hamadryad possesses powerful nature magic that it will use to guard its Forest from intruders. It is also very patient and never runs away like most Satyrs would do if set to guard something. The only problem with it is that it refuses to grow in a Forest where there is another Hamadryad."
Dryad Queen,Call of the Wild,3,400 Herb,Ancient Forests; Scared Groves,"Taps into the nature of Elysium and calls upon the wild beasts to come forth. Animals, beasts and other beings will appear in all Forests and Jungles that are not controlled by the Caster of this ritual."
Dryad Queen,Create Primal Forest,3,1000 Herb; 6 AP,Grove of Gaia,"A Grove of Gaia will be upgraded to a Primal Forest. This increases the number of creatures that will gather there to fight for the Dryad Queen. Satyrs and Harpies will appear in Primal Forests automatically, but to get Centaurs or Minotaurs a Commander of the correct type must be present in the Primal Forest."
Dryad Queen,Incarnate Earth Mother,3,1500 Herb,Primal Forest,Call upon the Earth Mother. There is only 1 Earth Mother and she is very powerful
Dryad Queen,Summon Servants of Gaia,3,750 Herb,Ancient Forests; Scared Groves,Summons 1 or a group of powerful and exotic creatures. The creatures will do heir best to help the Dryad Queen to defeat her enemies.
Dwarf Queen,Divine Marriage,-,100 DI,Anywhere,The Dvala becomes a Daughter of Dvalin. A Daughter of Dvalin has superior magic powers and gives birth to more dwarves than a normal Dvala. Her understanding of the mountain will also increase mining output further.
Dwarf Queen,Sense Mines,1,5 DI,Anywhere,"Enables the Dwarf Queen to detect a Mine anywhere in Elysium. Usually the Mine will be previously unknown, but the nature of the ritual and a limited number of Mines makes it impossible to guarantee such a result."
Dwarf Queen,Create Councilor,1,20 EM,Anywhere,The Dward Queen will promote a Dwarf Worker to a Councilor. The Councilor is a clever Dwarf who is able to lead troops. It is also the job of a Councilor to lead expeditions to the outside world and establish new Dwarf colonies.
Dwarf Queen,Create Iron Gate,1,30 EM; 3 AP,Anywhere,The Dwarves create an Iron Gate in their newly founded colony
Dwarf Queen,Lore of Dvalin I,1,10 DI,Anywhere,The Dvala taps into the ancient lore of Dvalin and learns a new combat spell to protect her children with.
Dwarf Queen,Create Rune Smith,2,50 DI,Anywhere,The Dwarf Queen will promote a worker to a Rune Smith. Rune Smiths are the Mages of Dwarven society and it is their job to support the warriors and guards of the Dwarves with their battle magic. They also craft enchanted armor and weapons to provide the colonies with elite warriors.
Dwarf Queen,Enchant Gate,2,40 DI,Anywhere,"The Dvala enchants the Iron Gate with a Dwarven Dweomer. The enchanted gate is magically reinforced and charged with lightning, striking down anyone trying to break it down."
Dwarf Queen,Lore of Dvalin II,2,30 DI,Anywhere,The Dvala taps into the ancient lore of Dvalin and learns a new combat spell to protect her children with.
Dwarf Queen,Lore of Dvalin III,3,90 DI,Anywhere,The Dvala taps into the ancient lore of Dvalin and learns a new combat spell to protect her children with.
Dwarf Queen,Portal of Dvalin,3,25 DI; 25 EM; 6 AP,Anywhere,"The Dvala constructs a gate that connects to the Halls of Dvalin where a network of gates to all other Dvalas are located. This network of magic gates might not be constructed yet, but Dvalin has proclaimed that it will be a vast network and it is up to his Daughters to make it so."
Dwarf Queen,Living Boulders,3,15 DI; 15 EM,Anywhere,Animates a pair of Boulders and sets them to defend the Mine against intruders. There can only be 1 pair of animated Boulders at each Mine and the ritual can only be performed again after the previous animated Boulders have been completely destroyed.
Dwarf Queen (Councilor),Found Colony,1,250 Gold; 50 Iron,Greater Mines,The Councilor performs the saacred task of putting a newly hatched Dvala in charge of her own Dwarf colony. Colonies can only be established in proper Mines that the Dvala is sure to appreciate.
Dwarf Queen (Rune Smith),Ritual of Mastery,-,75 DI,Anywhere,"Grants the caster a new second level ritual. If the caster is currently unable to cast second level rituals, it will be leveled up as well."
Dwarf Queen (Rune Smith),Create Rime Armor,1,20 SA,Anywhere,"With the help of magic Gems the Rune Smith forges 5 suits of magic armor for the best of the Dwarven fighters. A total of 5 Dwarves, Dwarf Warriors and Dwarf Guards must be present to make full use of this ability."
Dwarf Queen (Rune Smith),Create Furnace Armor,1,20 RU,Anywhere,"With the help of magic Gems the Rune Smith forges 5 suits of magic armor for the best of the Dwarven fighters. A total of 5 Dwarves, Dwarf Warriors and Dwarf Guards must be present to make full use of this ability."
Dwarf Queen (Rune Smith),Create Armor of Dvalin,1,20 EM,Anywhere,"With the help of magic Gems the Rune Smith forges 5 suits of magic armor for the best of the Dwarven fighters. A total of 5 Dwarves, Dwarf Warriors and Dwarf Guards must be present to make full use of this ability."
Dwarf Queen (Rune Smith),Rime Brand Weapons,2,20 SA,Anywhere,By Rime Branding a weapon it becomes magic and will strike foes with Cold. Dwarves with Rime Armor as well as Arbalests can be targeted by this ritual.
Dwarf Queen (Rune Smith),Flame Brand Weapons,2,20 RU,Anywhere,By Flame Branding a weapon it becomes magic and will strike foes with Fire. Dwarves with Furnance Armor as well as Arbalests can be targeted by this ritual.
