SCHOOL,SPELL,LEVEL,RANGE,MAGIC,AFFECTS,NO AFFECT,IGNORE AR,PRIMARY,AOE,NEGATION,xEFFECT,xAOE,xNEGATION,SPECIAL,SLOW,SCATTER,DESCRIPTION
Crystal Sorcery,Haste,3,8,Y,-,Lifeless,-,Quickness,Burst 25,-,-,-,-,-,-,-,A unit with quickness will move fast in combat and also avoide about 1/4 of all attacks made against it
Crystal Sorcery,Protective Winds,3,8,Y,Only Friendly,-,-,Air Shield*,Burst 20,-,-,-,-,-,-,-,x%* chance of taking no Damage from normal non-magical missile attacks
Dark Magic,Dark Cloud,1,6,Y,-,-,Y,Magic 1-4,Burst 4,MR 2d4,-,-,-,-,-,-,
Dark Magic,Fear,1,8,Y,-,-,Y,Fear 1-12,Single,(gd) MR 2d6,-,-,-,-,-,-,"Fear Damage is applied against Morale. If the damage roll from fear exceeds the morale of the target, the target panics and runs away"
Dark Magic,Shadowform,1,6,Y,-,-,-,Etherealness,Single,-,-,-,-,-,-,-,75% chance of taking no Damage from non-magical attacks
Dark Magic,Summon Shade,1,6,Y,-,-,-,Summon,-,-,-,-,-,1 Shade,Y,-,A maximum of about 25 Shades can be summoned in a single battle
Dark Magic,Tendril of Darkness,1,6,Y,-,-,Y,Magic 1-5,Single,(gd) MR 2d6,Weakness,-,MR 2d4 (reg),-,-,-,Weakened units have their Strength and Damage reduced by 2
Dark Magic,Lashes of Darkness,2,6,Y,-,-,Y,Magic 1-5,5 strikes,(gd) MR 2d6,Weakness,-,MR 2d4 (reg),-,-,-,Weakened units have their Strength and Damage reduced by 2
Dark Magic,Shade Warriors,2,8,Y,-,-,-,Etherealness,Burst 9,-,-,-,-,-,-,-,75% chance of taking no Damage from non-magical attacks
Dark Magic,Summon Shade Assassin,2,15,Y,-,-,-,Summon,-,-,-,-,-,1 Shade; Targets rear Enemy,Y,-,A maximum of about 25 Shades can be summoned in a single battle
Dark Magic,Summon Shades,2,6,Y,-,-,-,Summon,-,-,-,-,-,1-3 Shades,Y,-,A maximum of about 25 Shades can be summoned in a single battle
Dark Magic,Terror,2,10,Y,Only Enemy,-,Y,Fear 1-8,Burst 25,(gd) MR 2d6,-,-,-,-,-,-,"Fear Damage is applied against Morale. If the damage roll from fear exceeds the morale of the target, the target panics and runs away"
Dark Magic,Weakness,2,8,Y,-,Undead; Lifeless,-,Weakness,Burst 25,(gd) MR 2d6,-,-,-,-,-,-,Weakened units have their Strength and Damage reduced by 2
Dark Magic,Army of Darkness,3,8,Y,-,-,-,Etherealness,Burst 25,-,-,-,-,-,-,-,75% chance of taking no Damage from non-magical attacks
Dark Magic,Horde of the Night,3,6,Y,-,-,-,Summon,-,-,-,-,-,1-8 Shades,Y,-,A maximum of about 25 Shades can be summoned in a single battle
Dark Magic,Shade of Death,3,0,Y,-,Undead; Lifeless,-,Weakness,Entire Battlefield,(gd) MR 2d6,-,-,-,-,Y,-,Weakened units have their Strength and Damage reduced by 2
Dark Magic,Symbol of Dread,3,10,Y,Only Enemy,-,Y,Magic 1-2,Burst 100,MR 2d4,Fear 1-8,-,(gd) MR 2d6,-,-,-,"Fear Damage is applied against Morale. If the damage roll from fear exceeds the morale of the target, the target panics and runs away"
Dark Prayers,Bleed,1,6,Y,-,Lifeless,-,Profuse Bleeding,3 strikes,(gd) MR 2d6,-,-,-,-,-,-,"Bleeding units will take 1 point of Damage per combat round until bleeding stops. Regenerating units will stop bleeding almost immediately, Fast healing units have an increased chance of stopping bleeding"
Dark Prayers,Blood Boil,1,6,Y,-,Lifeless,Y,Fire 1-15,Single,MR 2d4,-,-,-,-,-,-,
Dark Prayers,Call Scorpion,1,8,Y,-,-,-,Summon,-,-,-,-,-,1 Scorpion,-,-,A maximum of about 50 Scorpions can be summoned in a single battle
Dark Prayers,Call Spider,1,10,Y,-,-,-,Summon,-,-,-,-,-,1 Small Spider,-,-,A maximum of about 50 Small Spiders can be summoned in a single battle
Dark Prayers,Leech,1,5,Y,-,Lifeless,Y,Magic 1-6,Single,-,-,-,-,Drain,-,-,"In addition to causing Damage to their targets, life draining attacks add an equal amount of Hit Points to the attacker, healing them of Damage already suffered or augmenting their Hit Points beyond the normal maximum."
Dark Prayers,Pain,1,6,Y,-,Lifeless,Y,Magic 1-10,Single,MR 2d4,-,-,-,-,-,-,
Dark Prayers,Poison Web,1,6,Y,-,-,Y,Poison 1-5,Single,-,Net,-,-,-,-,-,Net victim cannot do anything until it breaks free by making a successful STR 1d12
Dark Prayers,Call Large Spiders,2,8,Y,-,-,-,Summon,-,-,-,-,-,1-2 Large Spiders,-,-,A maximum of about 25 Large Spiders can be summoned in a single battle; CANNOT be cast at sea
Dark Prayers,Hellbind Heart,2,6,Y,-,Mindless,-,Enslave,Single,MR 2d4,-,-,-,-,Y,-,Enslaved units immediately switch sides and attack their former comrades
Dark Prayers,Lashes of Fire,2,6,Y,-,-,-,Fire 1-11,3 strikes,-,Stun,-,MR 2d4 (reg),-,-,-,Stunned units are immobilized and cannot do anything until they recover. Stunned units have a 75% chance of recovering every round.
Dark Prayers,Terror,2,10,Y,Only Enemy,-,Y,Fear 1-8,Burst 25,(gd) MR 2d6,-,-,-,-,-,-,"Fear Damage is applied against Morale. If the damage roll from fear exceeds the morale of the target, the target panics and runs away"
Dark Prayers,Vengeance,2,8,Y,-,-,-,Magic 1-13,2 strikes,-,Curse,-,-,-,-,-,Cursed units have a greatly increased chance of receiving battle afflictions when they are hit
Dark Prayers,Word of Power,2,4,Y,-,-,-,Paralyzation,Single,(gd) MR 2d6,-,-,-,-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Dark Prayers,Bloodletting,3,0,Y,-,Lifeless,-,Magic 1-6,Entire Battlefield,-,-,-,-,Drain,Y,-,"In addition to causing Damage to their targets, life draining attacks add an equal amount of Hit Points to the attacker, healing them of Damage already suffered or augmenting their Hit Points beyond the normal maximum."
Dark Prayers,Lashes of Death,3,6,Y,-,Lifeless (xEffect only),xEffect only,Magic 1-15,3 strikes,-,Magic 1-999,-,MR 2d4 (reg),-,-,-,
Dark Prayers,Rupture,3,10,Y,Only Enemy,Lifeless,Y,Magic 1-7,Burst 100,MR 2d4,-,-,-,-,Y,-,
Dark Prayers,Spider Swarm,3,8,Y,-,-,-,Summon,-,-,-,-,-,1-11 Large Spiders,-,-,A maximum of about 25 Large Spiders can be summoned in a single battle; CANNOT be cast at sea
Death,Blessing,1,8,Y,Only Friendly,-,-,Blessing,Burst 9,-,-,-,-,-,-,-,*
Death,Decay,1,8,Y,-,-,-,Decay,Single,MR 2d4,-,-,-,-,-,-,"Units suffering from Decay take 1 point of Damage per combat round until they die. Decay can usually not be survived, but after the battle has ended the effect will run out eventually"
Death,Disease,1,8,Y,-,Lifeless,-,Disease,Single,(gd) MR 2d6,-,-,-,-,-,-,"Diseased units have their Strength lowered by one point immediately, but take no extra Damage in combat. After combat, they have a 50% chance of taking 1 point of Damage every month until they die."
Death,Strength Sap,1,8,Y,-,Undead,-,Weakness,Burst 3,(gd) MR 2d6,-,-,-,-,-,-,Weakened units have their Strength and Damage reduced by 2
Death,Dance Macabre,2,3,Y,-,-,-,Summon,-,-,-,-,-,1-5 Longdeads,-,-,
Death,Greater Blessing,2,8,Y,Only Friendly,-,-,Blessing,Burst 25,-,-,-,-,-,-,-,*
Death,Plague,2,10,Y,Only Enemy,Lifeless,-,Disease,Burst 25,MR 2d4,-,-,-,-,-,-,"Diseased units have their Strength lowered by one point immediately, but take no extra Damage in combat. After combat, they have a 50% chance of taking 1 point of Damage every month until they die."
Death,Weakness,2,8,Y,-,Undead; Lifeless,-,Weakness,Burst 25,(gd) MR 2d6,-,-,-,-,-,-,Weakened units have their Strength and Damage reduced by 2
Death,Wither,2,8,Y,-,-,-,Decay,Burst 5,(gd) MR 2d6,-,-,-,-,-,-,"Units suffering from Decay take 1 point of Damage per combat round until they die. Decay can usually not be survived, but after the battle has ended the effect will run out eventually"
Death,Word of Power,2,4,Y,-,-,-,Paralyzation,Single,(gd) MR 2d6,-,-,-,-,-,-,Paralyzed units are immobilized and cannot do anything until the effect wears off. (10% chance each combat round)
Death,Shade of Death,3,0,Y,-,Undead; Lifeless,-,Weakness,Entire Battlefield,(gd) MR 2d6,-,-,-,-,Y,-,Weakened units have their Strength and Damage reduced by 2
Death,Smite,3,5,Y,-,-,Y,Fire 1-50,Single,(gd) MR 2d6,-,-,-,-,-,-,
Defilement,Bolt of Unlife,1,6,Y,-,Lifeless,Y,Magic 1-6,Single,(gd) MR 2d6,-,-,-,Reanimates victim,-,-,"Turns unit into Soulless, if killed"
